,genre,filename
11204,classical,seth_carlin-mozart_in_the_age_of_enlightenment-05-sonata_in_a_minor__kv_310__andante_cantabile_con_espressione_wolfgang_amadeus_mozart-117-146.mp3
25350,classical,edward_martin-art_of_the_lute_in_renaissance_france-23-branle_poictou_attaignant-0-29.mp3
22754,classical,seth_and_maryse_carlin-schubert__music_for_fortepiano_four_hands-13-laendler_no__3-0-29.mp3
9192,classical,vito_paternoster-cd1bach_cello_suites-04-suite_i_in_sol_maggiore__sarabande-59-88.mp3
1030,classical,american_bach_soloists-joseph_haydn__masses-01-kyrie__allegro_moderato-204-233.mp3
44,classical,ralph_meulenbroeks-gambomania-01-my_mistress_hath_a_pritty_thing_tobias_hume-88-117.mp3
12101,classical,shira_kammen-music_of_waters-06-dark_tower-0-29.mp3
6956,classical,ensemble_mirable-triemer_six_cello_sonatas-03-sonata_1_cantabile-59-88.mp3
23756,classical,maryse_carlin-rameau__pieces_de_clavecin_en_concerts__forqueray_suites_4_and_5-15-fifth_suite__la_guignon_forqueray-233-262.mp3
13261,classical,phebe_craig_and_katherine_westine-beside_themselves-06-soler_conceierto_ii_in_a_minor_tempo_de_minue-59-88.mp3
21749,classical,jeni_melia-the_lost_art_of_wooing-12-come_away_come_sweet_love_john_dowland-117-146.mp3
19543,classical,sarasa_ensemble_labelle_sylvan-bach_cantatas-10-ich_habe_genug_aria-117-146.mp3
11451,classical,o_fickle_fortune-a_celebration_of_robert_burns-05-thine_i_am-88-117.mp3
4025,classical,jami_sieber-hidden_sky-02-out_of_the_mist-291-320.mp3
2598,classical,sarasa_ensemble_labelle_sylvan-bach_cantatas-01-weichet_nur_betrubte_schatten_aria-204-233.mp3
9133,classical,seth_carlin-schubert__works_for_solo_fortepiano-04-sonata_in_eflat_major_opus_posth__122__allegro_moderato-436-465.mp3
10840,classical,the_sarasa_ensemble-a_baroque_mosaic-05-partia_no_5__passacaglia_biber-30-59.mp3
14048,classical,philharmonia_baroque-mozart_orchestral_works-07-concerto_for_flute_and_harp_in_c_major_kv299_rondo-262-291.mp3
25505,classical,katherine_roberts_perl-j_s__bach_french_suites-24-suite_no_5_in_g_major_bwv_816_bourree-59-88.mp3
4865,classical,telemann_trio_berlin-telemann_trio_berlin-02-triosonate_fur_flute_violine_und_basso__allegro_telemann-88-117.mp3
79,classical,new_york_consort_of_viols-dances_and_canzonas_of_holborne_and_brade-01-3_almaines_holborne-581-610.mp3
10285,classical,magnatune-romantic_dinner_classical_compilation-05-gonzalo_x_ruiz__andante_sonata_for_oboe_and_bassoc_continuo_in_g_major_sammartini-320-349.mp3
7563,classical,ehren_starks-the_depths_of_a_year-04-bailar_tristemente-204-233.mp3
2247,classical,katherine_roberts_perl-j_s__bach_french_suites-01-suite_no_4_in_e_flat_major_bwv_815_allemande-88-117.mp3
